,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count
54,X:BTCUSD,120,120,True,"{'v': 10.901216349999993, 'vw': 31897.9687, 'o': 31897.74, 'c': 31888.75, 'h': 31926.39449958, 'l': 31876.14, 't': 1654044840000, 'n': 349}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
55,X:BTCUSD,120,120,True,"{'v': 21.224856750000004, 'vw': 31933.9196, 'o': 31888.24, 'c': 31952.7, 'h': 31964, 'l': 31887.3, 't': 1654044900000, 'n': 498}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
56,X:BTCUSD,120,120,True,"{'v': 8.354507479999995, 'vw': 31950.1004, 'o': 31952.36, 'c': 31942.8, 'h': 31964, 'l': 31929, 't': 1654044960000, 'n': 366}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
57,X:BTCUSD,120,120,True,"{'v': 20.704308600000015, 'vw': 31942.7432, 'o': 31943.91, 'c': 31924.86, 'h': 31964, 'l': 31923.25, 't': 1654045020000, 'n': 522}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
58,X:BTCUSD,120,120,True,"{'v': 18.52515132999997, 'vw': 31935.2968, 'o': 31924.97, 'c': 31921.1, 'h': 31947, 'l': 31920.27, 't': 1654045080000, 'n': 374}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
59,X:BTCUSD,120,120,True,"{'v': 10.976873019999992, 'vw': 31924.0681, 'o': 31919.96, 'c': 31920.41, 'h': 31941, 'l': 31912.44, 't': 1654045140000, 'n': 357}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
60,X:BTCUSD,120,120,True,"{'v': 17.636478880000006, 'vw': 31909.0879, 'o': 31921.62, 'c': 31890.45, 'h': 31933.02, 'l': 31888.01, 't': 1654045200000, 'n': 499}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
61,X:BTCUSD,120,120,True,"{'v': 5.857918920000002, 'vw': 31882.176, 'o': 31890.45, 'c': 31878.04, 'h': 31908, 'l': 31874.49, 't': 1654045260000, 'n': 268}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
62,X:BTCUSD,120,120,True,"{'v': 13.774342130000003, 'vw': 31869.2827, 'o': 31879.44, 'c': 31868.92, 'h': 31894, 'l': 31859.21, 't': 1654045320000, 'n': 403}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
63,X:BTCUSD,120,120,True,"{'v': 4.299117089999994, 'vw': 31870.5638, 'o': 31865.1, 'c': 31876.1, 'h': 31894, 'l': 31859.6, 't': 1654045380000, 'n': 250}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
64,X:BTCUSD,120,120,True,"{'v': 9.989641830000002, 'vw': 31874.9219, 'o': 31876.09, 'c': 31864.79, 'h': 31889, 'l': 31858.38, 't': 1654045440000, 'n': 264}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
65,X:BTCUSD,120,120,True,"{'v': 15.324972709999983, 'vw': 31867.9215, 'o': 31863.19, 'c': 31868.79, 'h': 31889, 'l': 31858.55, 't': 1654045500000, 'n': 351}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
66,X:BTCUSD,120,120,True,"{'v': 6.39530789000001, 'vw': 31879.7997, 'o': 31868.79, 'c': 31876.16, 'h': 31895, 'l': 31865, 't': 1654045560000, 'n': 329}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
67,X:BTCUSD,120,120,True,"{'v': 4.111880089999996, 'vw': 31865.5727, 'o': 31876.16, 'c': 31862.12, 'h': 31888, 'l': 31859.7, 't': 1654045620000, 'n': 286}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
68,X:BTCUSD,120,120,True,"{'v': 17.70238661000003, 'vw': 31865.0822, 'o': 31862.23, 'c': 31874.44, 'h': 31891, 'l': 31860.6, 't': 1654045680000, 'n': 292}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
69,X:BTCUSD,120,120,True,"{'v': 2.3445976699999997, 'vw': 31865.0851, 'o': 31874.44, 'c': 31873.29, 'h': 31888, 'l': 31856.61, 't': 1654045740000, 'n': 258}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
70,X:BTCUSD,120,120,True,"{'v': 10.453478669999983, 'vw': 31874.5687, 'o': 31873.61, 'c': 31872.36, 'h': 31893.55586065, 'l': 31867.94, 't': 1654045800000, 'n': 312}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
71,X:BTCUSD,120,120,True,"{'v': 5.890697430000002, 'vw': 31886.5151, 'o': 31874.44, 'c': 31895.63, 'h': 31917, 'l': 31870.61, 't': 1654045860000, 'n': 288}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
72,X:BTCUSD,120,120,True,"{'v': 2.6391541199999993, 'vw': 31900.9481, 'o': 31879.4, 'c': 31914.11, 'h': 31915.94, 'l': 31879.4, 't': 1654045920000, 'n': 234}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
73,X:BTCUSD,120,120,True,"{'v': 7.616554020000008, 'vw': 31898.5852, 'o': 31914.12, 'c': 31896.31, 'h': 31931, 'l': 31886.15, 't': 1654045980000, 'n': 321}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
74,X:BTCUSD,120,120,True,"{'v': 2.826703190000002, 'vw': 31897.3347, 'o': 31897.36, 'c': 31897.36, 'h': 31913, 'l': 31895.39, 't': 1654046040000, 'n': 170}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
75,X:BTCUSD,120,120,True,"{'v': 11.971128389999999, 'vw': 31894.6875, 'o': 31897.36, 'c': 31887.5, 'h': 31915, 'l': 31879.69, 't': 1654046100000, 'n': 322}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
76,X:BTCUSD,120,120,True,"{'v': 8.674124099999995, 'vw': 31898.5318, 'o': 31892.11, 'c': 31920.57989285, 'h': 31920.57989285, 'l': 31889.76, 't': 1654046160000, 'n': 264}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
77,X:BTCUSD,120,120,True,"{'v': 7.807811880000009, 'vw': 31902.796, 'o': 31913.6, 'c': 31888.55, 'h': 31926, 'l': 31886.86, 't': 1654046220000, 'n': 373}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
78,X:BTCUSD,120,120,True,"{'v': 5.840989649999997, 'vw': 31897.1214, 'o': 31886.47, 'c': 31897.43, 'h': 31915, 'l': 31886.47, 't': 1654046280000, 'n': 304}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
79,X:BTCUSD,120,120,True,"{'v': 4.190442409999997, 'vw': 31906.2723, 'o': 31897.43, 'c': 31908.68, 'h': 31926.6144737, 'l': 31896.87, 't': 1654046340000, 'n': 263}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
80,X:BTCUSD,120,120,True,"{'v': 5.727557920000002, 'vw': 31893.9862, 'o': 31908.68, 'c': 31887.71, 'h': 31911, 'l': 31882.5, 't': 1654046400000, 'n': 242}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
81,X:BTCUSD,120,120,True,"{'v': 8.074913089999999, 'vw': 31893.5295, 'o': 31890.3, 'c': 31866.07, 'h': 31923, 'l': 31866.07, 't': 1654046460000, 'n': 358}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
82,X:BTCUSD,120,120,True,"{'v': 5.287221850000005, 'vw': 31853.4979, 'o': 31889, 'c': 31859.5, 'h': 31889, 'l': 31839.65, 't': 1654046520000, 'n': 326}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
83,X:BTCUSD,120,120,True,"{'v': 13.80175272, 'vw': 31845.3451, 'o': 31846.86, 'c': 31834.64, 'h': 31863.85124488, 'l': 31828.79, 't': 1654046580000, 'n': 333}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
84,X:BTCUSD,120,120,True,"{'v': 6.954976500000001, 'vw': 31843.5839, 'o': 31831.35, 'c': 31846.38, 'h': 31862.25567928, 'l': 31831.35, 't': 1654046640000, 'n': 274}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
85,X:BTCUSD,120,120,True,"{'v': 10.562286029999997, 'vw': 31857.4923, 'o': 31846.36, 'c': 31849.6, 'h': 31879, 'l': 31843.31, 't': 1654046700000, 'n': 335}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
86,X:BTCUSD,120,120,True,"{'v': 6.0478321400000015, 'vw': 31862.8973, 'o': 31851.32, 'c': 31871.35, 'h': 31879.87010363, 'l': 31848.91, 't': 1654046760000, 'n': 250}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
87,X:BTCUSD,120,120,True,"{'v': 7.027322490000003, 'vw': 31871.3671, 'o': 31871.35, 'c': 31882.81, 'h': 31882.82, 'l': 31859.9, 't': 1654046820000, 'n': 250}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
88,X:BTCUSD,120,120,True,"{'v': 3.8068692499999988, 'vw': 31879.3249, 'o': 31883.01, 'c': 31882.67, 'h': 31886.97, 'l': 31860, 't': 1654046880000, 'n': 215}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
89,X:BTCUSD,120,120,True,"{'v': 15.970683930000007, 'vw': 31876.9281, 'o': 31879.87, 'c': 31888.81, 'h': 31901, 'l': 31861.6, 't': 1654046940000, 'n': 388}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
90,X:BTCUSD,120,120,True,"{'v': 8.232941729999999, 'vw': 31892.0283, 'o': 31887.82, 'c': 31897.09, 'h': 31903, 'l': 31874.5, 't': 1654047000000, 'n': 303}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
91,X:BTCUSD,120,120,True,"{'v': 6.76238158000001, 'vw': 31903.2404, 'o': 31902.34036012, 'c': 31900.01, 'h': 31921.57956264, 'l': 31890.4, 't': 1654047060000, 'n': 316}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
92,X:BTCUSD,120,120,True,"{'v': 6.669749879999997, 'vw': 31893.6162, 'o': 31900.01, 'c': 31896.81, 'h': 31915, 'l': 31886.96, 't': 1654047120000, 'n': 268}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
93,X:BTCUSD,120,120,True,"{'v': 10.448501739999996, 'vw': 31905.0574, 'o': 31900.04, 'c': 31920, 'h': 31926, 'l': 31891.4, 't': 1654047180000, 'n': 307}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
94,X:BTCUSD,120,120,True,"{'v': 12.258893109999994, 'vw': 31912.5022, 'o': 31920, 'c': 31906.68, 'h': 31932, 'l': 31900.5, 't': 1654047240000, 'n': 348}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
95,X:BTCUSD,120,120,True,"{'v': 12.425021840000003, 'vw': 31871.0543, 'o': 31905.79, 'c': 31860, 'h': 31921.57956264, 'l': 31838.52, 't': 1654047300000, 'n': 394}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
96,X:BTCUSD,120,120,True,"{'v': 6.615187900000007, 'vw': 31852.5902, 'o': 31848.96, 'c': 31844.34, 'h': 31863.46982066, 'l': 31837.25, 't': 1654047360000, 'n': 279}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
97,X:BTCUSD,120,120,True,"{'v': 6.189693530000002, 'vw': 31853.1409, 'o': 31844.43, 'c': 31851.5, 'h': 31860.74, 'l': 31844.34, 't': 1654047420000, 'n': 259}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
98,X:BTCUSD,120,120,True,"{'v': 5.537395530000006, 'vw': 31857.5183, 'o': 31854.95, 'c': 31853.11, 'h': 31862.74, 'l': 31850, 't': 1654047480000, 'n': 257}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
99,X:BTCUSD,120,120,True,"{'v': 9.364346710000005, 'vw': 31861.9572, 'o': 31853.67, 'c': 31865.88, 'h': 31877, 'l': 31853.11, 't': 1654047540000, 'n': 317}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
100,X:BTCUSD,120,120,True,"{'v': 17.57589515999998, 'vw': 31856.8178, 'o': 31863.9, 'c': 31863.36, 'h': 31872, 'l': 31850.95, 't': 1654047600000, 'n': 367}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
101,X:BTCUSD,120,120,True,"{'v': 2.50451293, 'vw': 31864.1114, 'o': 31862.8, 'c': 31865.97, 'h': 31875, 'l': 31859.8, 't': 1654047660000, 'n': 267}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
102,X:BTCUSD,120,120,True,"{'v': 7.165393400000013, 'vw': 31852.918, 'o': 31864.17, 'c': 31835.82, 'h': 31866, 'l': 31833.35, 't': 1654047720000, 'n': 331}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
103,X:BTCUSD,120,120,True,"{'v': 7.098068740000002, 'vw': 31827.4488, 'o': 31835.81, 'c': 31820.26, 'h': 31850.1, 'l': 31820.26, 't': 1654047780000, 'n': 335}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
104,X:BTCUSD,120,120,True,"{'v': 17.318698610000002, 'vw': 31834.4279, 'o': 31819.94, 'c': 31823.72, 'h': 31853, 'l': 31813.89, 't': 1654047840000, 'n': 379}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
105,X:BTCUSD,120,120,True,"{'v': 33.52202414000001, 'vw': 31810.1142, 'o': 31823.71, 'c': 31816.85, 'h': 31835.75783588, 'l': 31797.56, 't': 1654047900000, 'n': 455}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
106,X:BTCUSD,120,120,True,"{'v': 7.159526260000011, 'vw': 31824.6824, 'o': 31815.95, 'c': 31823.32, 'h': 31843, 'l': 31815.1, 't': 1654047960000, 'n': 284}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
