date,volume,open,close,high,low,symbol,splitDeclaredDate,ratio,tofactor,forfactor,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2020-08-25,2394397.0,15.12,15.05,15.25,14.82,AA,,,,,,1.0,2394397.0,15.12,15.05,15.25,14.82,36035674.85
2020-08-26,3184748.0,15.09,15.07,15.44,15.02,AA,,,,,,1.0,3184748.0,15.09,15.07,15.44,15.02,47994152.36
2020-08-27,3278432.0,15.22,14.84,15.33,14.672,AA,,,,,,1.0,3278432.0,15.22,14.84,15.33,14.672,48651930.88
2020-08-28,3170873.0,15.01,15.12,15.18,14.8605,AA,,,,,,1.0,3170873.0,15.01,15.12,15.18,14.8605,47943599.76
2020-08-31,4069558.0,15.23,14.62,15.23,14.62,AA,,,,,,1.0,4069558.0,15.23,14.62,15.23,14.62,59496937.95999999
2020-09-01,4172565.0,14.64,15.09,15.18,14.24,AA,,,,,,1.0,4172565.0,14.64,15.09,15.18,14.24,62964005.85
2020-09-02,5996673.0,14.73,14.67,14.87,14.41,AA,,,,,,1.0,5996673.0,14.73,14.67,14.87,14.41,87971192.91
2020-09-03,3970436.0,14.53,14.23,14.78,14.01,AA,,,,,,1.0,3970436.0,14.53,14.23,14.78,14.01,56499304.28
2020-09-04,3983174.0,14.52,14.4,14.67,13.9,AA,,,,,,1.0,3983174.0,14.52,14.4,14.67,13.9,57357705.6
2020-09-08,5057302.0,14.26,14.23,14.555,13.69,AA,,,,,,1.0,5057302.0,14.26,14.23,14.555,13.69,71965407.46000001
2020-09-09,3144599.0,14.32,14.1,14.4,14.05,AA,,,,,,1.0,3144599.0,14.32,14.1,14.4,14.05,44338845.9
2020-09-10,4236233.0,14.15,13.78,14.34,13.73,AA,,,,,,1.0,4236233.0,14.15,13.78,14.34,13.73,58375290.739999995
2020-09-11,4244361.0,13.89,13.98,14.28,13.675,AA,,,,,,1.0,4244361.0,13.89,13.98,14.28,13.675,59336166.78
2020-09-14,2790009.0,14.19,14.05,14.22,13.87,AA,,,,,,1.0,2790009.0,14.19,14.05,14.22,13.87,39199626.45
2020-09-15,5400549.0,14.2,13.78,14.39,13.78,AA,,,,,,1.0,5400549.0,14.2,13.78,14.39,13.78,74419565.22
2020-09-16,5640690.0,13.92,13.9,14.08,13.705,AA,,,,,,1.0,5640690.0,13.92,13.9,14.08,13.705,78405591.0
2020-09-17,7532118.0,13.61,13.45,13.64,13.21,AA,,,,,,1.0,7532118.0,13.61,13.45,13.64,13.21,101306987.1
2020-09-18,8033137.0,13.49,13.32,13.805,13.3,AA,,,,,,1.0,8033137.0,13.49,13.32,13.805,13.3,107001384.84
2020-09-21,7164250.0,12.96,12.3,13.0899,11.985,AA,,,,,,1.0,7164250.0,12.96,12.3,13.0899,11.985,88120275.0
2020-09-22,4958307.0,12.36,12.21,12.42,11.89,AA,,,,,,1.0,4958307.0,12.36,12.21,12.42,11.89,60540928.470000006
2020-09-23,5461522.0,12.01,11.64,12.39,11.57,AA,,,,,,1.0,5461522.0,12.01,11.64,12.39,11.57,63572116.080000006
2020-09-24,3976542.0,11.66,11.7,11.915,11.39,AA,,,,,,1.0,3976542.0,11.66,11.7,11.915,11.39,46525541.4
2020-09-25,6228166.0,11.5,11.55,11.7573,11.3,AA,,,,,,1.0,6228166.0,11.5,11.55,11.7573,11.3,71935317.3
2020-09-28,5192009.0,11.83,12.24,12.33,11.82,AA,,,,,,1.0,5192009.0,11.83,12.24,12.33,11.82,63550190.160000004
2020-09-29,5207495.0,12.1799,11.67,12.1799,11.55,AA,,,,,,1.0,5207495.0,12.1799,11.67,12.1799,11.55,60771466.65
2020-09-30,5559471.0,11.68,11.63,12.1,11.56,AA,,,,,,1.0,5559471.0,11.68,11.63,12.1,11.56,64656647.730000004
2020-10-01,6168920.0,11.69,11.39,11.88,11.29,AA,,,,,,1.0,6168920.0,11.69,11.39,11.88,11.29,70263998.8
2020-10-02,5708414.0,11.02,11.82,11.95,10.98,AA,,,,,,1.0,5708414.0,11.02,11.82,11.95,10.98,67473453.48
2020-10-05,5430153.0,11.95,11.93,12.17,11.835,AA,,,,,,1.0,5430153.0,11.95,11.93,12.17,11.835,64781725.29
2020-10-06,7071475.0,12.11,11.67,12.47,11.66,AA,,,,,,1.0,7071475.0,12.11,11.67,12.47,11.66,82524113.25
2020-10-07,3987269.0,11.96,12.24,12.3,11.96,AA,,,,,,1.0,3987269.0,11.96,12.24,12.3,11.96,48804172.56
2020-10-08,4907422.0,12.45,12.73,12.74,12.38,AA,,,,,,1.0,4907422.0,12.45,12.73,12.74,12.38,62471482.06
2020-10-09,8501290.0,12.94,12.52,12.97,12.25,AA,,,,,,1.0,8501290.0,12.94,12.52,12.97,12.25,106436150.8
2020-10-12,5141803.0,12.59,12.59,12.65,12.3494,AA,,,,,,1.0,5141803.0,12.59,12.59,12.65,12.3494,64735299.769999996
2020-10-13,5969809.0,12.44,12.72,12.83,12.36,AA,,,,,,1.0,5969809.0,12.44,12.72,12.83,12.36,75935970.48
2020-10-14,7509107.0,12.79,13.0,13.14,12.7055,AA,,,,,,1.0,7509107.0,12.79,13.0,13.14,12.7055,97618391.0
2020-10-15,13671551.0,11.45,12.3,12.44,11.41,AA,,,,,,1.0,13671551.0,11.45,12.3,12.44,11.41,168160077.3
2020-10-16,5455581.0,12.31,12.62,12.66,12.03,AA,,,,,,1.0,5455581.0,12.31,12.62,12.66,12.03,68849432.22
2020-10-19,6711782.0,12.67,12.63,13.22,12.61,AA,,,,,,1.0,6711782.0,12.67,12.63,13.22,12.61,84769806.66000001
2020-10-20,4589126.0,12.9,12.8,13.1,12.74,AA,,,,,,1.0,4589126.0,12.9,12.8,13.1,12.74,58740812.800000004
2020-10-21,7348997.0,12.83,13.32,13.6,12.8,AA,,,,,,1.0,7348997.0,12.83,13.32,13.6,12.8,97888640.04
2020-10-22,5399732.0,13.28,13.66,13.67,13.02,AA,,,,,,1.0,5399732.0,13.28,13.66,13.67,13.02,73760339.12
2020-10-23,5356925.0,13.8,13.47,14.14,13.47,AA,,,,,,1.0,5356925.0,13.8,13.47,14.14,13.47,72157779.75
